State,MSN,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Energy_Type
CA,JFTCB,140653,153376,174310,184117,199588,222196,244527,292394,336577,341090,332941,350342,355936,352492,337622,350711,342150,354272,362559,369648,354212,331343,316702,321471,373501,375832,422108,448773,464177,507761,534666,508108,489548,504728,560139,540351,588383,585074,598083,559477,584018,551216,582624,565418,597665,593148,603307,628200,571739,555575,544252,549718,535670,563067,595279,637636,672597,693019,Jet Fuel
CA,MMTCB,719793,748747,778690,830028,858891,892484,939050,965148,1028165,1073470,1124480,1151597,1222679,1264867,1236915,1268643,1327149,1398811,1461288,1415278,1332125,1328555,1312790,1345500,1393030,1404485,1468574,1538649,1594919,1633254,1607328,1569061,1658075,1608632,1601293,1622514,1651057,1673139,1711109,1752350,1777861,1823005,1912406,1860829,1881902,1900173,1908187,1875486,1776856,1732480,1672340,1626302,1611650,1629370,1632025,1681388,1712963,1720795,Motor Gas excl Ethanol
CA,NNTCB,1301826,1400174,1483423,1623370,1817241,1813213,1982305,2048734,2187260,2189883,2241295,2265324,2303562,2154045,1937140,1937322,1849711,1864187,1646333,1900357,1890887,1947370,1765171,1601037,1739833,1925459,1591045,1992956,1860391,2047845,2101602,2208285,2294135,2213111,2334777,2109956,2017680,2185029,2418688,2379558,2456438,2513856,2318656,2317062,2462247,2304463,2375929,2467545,2472612,2391374,2325411,2196252,2456371,2480792,2409574,2384061,2248939,2188659,Natural Gas
CA,NUETB,1,55,84,2288,4369,3193,1895,6503,17003,27127,34375,38137,34266,28689,41277,66855,53107,87396,83801,95320,53665,35367,41357,61214,153366,209565,277332,317298,327209,344146,345955,330684,369043,331724,352778,317794,358119,320194,362928,348736,366845,346911,358707,370958,315634,377313,333488,375427,339506,332218,336562,383644,193939,187162,177656,193529,197754,187227,Nuclear Electric Power
CA,P1TCB,280569,272676,283480,271287,286236,290069,296708,275144,302788,316652,316633,313950,331879,350978,346644,342996,371830,411676,431790,488647,423618,274368,281005,425941,452438,435569,423897,434296,463324,445158,438768,389212,404095,370293,392988,380701,419051,403532,400340,436125,407948,444894,441979,412497,414489,423802,416381,425860,366260,311723,301083,332539,300371,324662,312417,309437,322917,322390,Other Petroleum
CA,RETCB,270161,248178,329046,360333,331757,418518,375877,473192,397366,544918,521978,533790,472312,553162,645073,578578,422852,338073,576601,559806,591928,503653,702806,811004,696738,594659,668070,524440,515854,742268,672960,658107,642475,822390,635982,854526,824947,767380,838207,764517,741708,615241,684585,768651,768941,819424,897313,707045,680176,725536,837024,946195,808946,851748,857093,847218,1039844,1229658,Total Renewables
CA,RFTCB,506573,522976,430087,400839,436384,438488,482589,453860,464626,443972,442126,503393,490902,708606,622424,698395,868339,1083948,978486,986943,934885,821470,513381,430792,481207,419495,364944,418956,433280,422630,402963,284864,215737,233668,263626,290763,253257,134667,108097,149596,212087,160129,193436,147249,174688,213377,237212,249466,255342,242270,250978,186927,167086,124188,84547,116664,145845,164954,Residual Fueal
CO,BMTCB,6479,6563,6420,6571,6816,6569,6982,7223,7434,7811,8364,8914,10032,10310,9433,9050,10276,12471,15473,16485,10749,14131,14794,16171,17189,18581,20649,13486,14630,12050,11777,13316,12891,13325,12746,13929,16342,17123,15850,15625,16364,13731,12540,13784,14166,12798,14952,19708,23926,27115,30171,32398,31158,35418,36371,40552,42278,42203,Biomass
CO,CLTCB,68206,76938,79296,88958,89600,98117,109021,107862,112995,104487,115688,105682,119005,140487,138302,159333,185147,223762,218619,238041,247615,278732,276433,254698,286888,299070,295376,296539,311372,323462,337375,330609,339652,347233,359375,344201,350712,362423,364889,364236,387879,400028,390480,394163,390186,386670,394348,388586,385416,350224,382623,368871,370085,363532,350526,340107,321476,315835,Coal
CO,DFTCB,24431,25649,23985,26412,23678,22862,26588,27424,32411,31888,30362,36401,40095,46069,51337,51525,54982,57870,59634,70211,65401,50821,53755,63688,58254,53293,56131,54790,62321,56893,58926,60969,64139,69191,69155,70907,72650,69041,84473,87433,90577,101460,101321,105899,96661,102174,110038,114152,114969,108257,111492,111440,110260,109019,118961,111716,103690,114400,Distillate Fuel Oil
CO,HLTCB,12077,11728,11857,11785,14452,12790,13395,16873,18438,18757,17906,19236,22552,22068,19318,18949,20398,19545,22343,14228,14279,13840,16987,17764,8539,8665,8117,8785,10048,13844,11314,13032,11798,12708,12592,14629,14420,6903,4961,11205,23596,23614,20516,25828,26268,21267,24402,21925,18336,15422,15743,16395,15047,17882,17521,16052,16382,15779,HGL
CO,HYTCB,10436,8900,10724,10839,11049,9800,10398,9685,9814,10370,12965,16612,12903,13313,14774,15678,13360,11187,13918,16685,17834,14621,17249,19686,22648,24629,23645,18947,18019,18280,14769,18725,15504,19709,15928,21977,18823,20751,14908,15978,14836,15445,12299,12780,11966,14152,17767,17095,20096,18405,15398,20235,14247,11572,16831,15098,17565,17479,Hydroelectric Power
CO,JFTCB,2574,9229,12143,12765,14863,19286,24293,30582,36036,38833,42259,43449,43864,43641,41545,40438,43737,44686,46923,34185,26678,31036,31400,34675,48114,44460,45635,47376,36524,30161,34551,36834,41642,50698,44870,42002,44009,40692,38547,44227,42993,43763,40433,32045,70045,69852,73637,76713,74632,61474,63841,58276,60107,53545,52644,52508,52533,59684,Jet Fuel
CO,MMTCB,86467,89972,94217,96329,98086,101492,105784,109711,119049,125914,137119,145298,157694,165587,161680,167657,173070,180241,193757,185264,180085,181883,184373,176541,176564,187752,191758,190130,191151,186063,186807,187404,188006,195668,203312,212109,218852,222409,228093,240426,241649,251327,249459,246094,257337,262612,264674,262813,249605,248138,248660,241940,240809,245545,250216,258377,263561,261233,Motor Gas excl Ethanol
CO,NNTCB,194963,210872,202310,180366,205251,204483,207693,210209,253481,268895,274987,281846,301651,311694,302725,280996,276287,253994,234600,260824,244771,201432,216115,207120,220950,209799,190320,201536,218567,240556,232296,268787,259036,286366,272152,288383,315855,311900,328897,330896,366094,464062,457708,436873,440720,478520,458911,512841,508491,525999,505628,477208,456471,480875,497182,490642,464749,461783,Natural Gas
CO,NUETB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2421,6664,2316,7273,8261,6299,8162,598,-337,550,1812,6994,5600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Nuclear Electric Power
